Hours_Worked_Per_Week,Access_to_Mental_Health_Resources,Work_Life_Balance_Rating,Social_Isolation_Rating,Sleep_Quality,Risk_Score_Raw,Burnout_Risk
58,1,0,3,9,-2.8000000000000114,1
71,1,1,2,8,13.399999999999991,1
48,1,2,2,9,-36.80000000000001,0
34,1,1,3,5,5.599999999999994,1
62,1,0,1,8,-1.2000000000000028,1
27,0,1,1,9,-68.2,0
80,0,2,2,8,20.0,1
40,0,0,2,9,-36.0,0
58,1,3,0,6,-8.800000000000011,0
77,1,0,0,9,-0.20000000000000284,1
38,1,2,1,7,-34.800000000000004,0
42,0,1,0,5,-7.200000000000003,0
30,0,3,3,6,-24.0,0
30,0,3,3,5,-12.0,0
43,1,1,3,6,6.199999999999989,1
72,0,2,3,8,16.799999999999997,1
55,0,0,2,9,-15.0,0
59,1,2,3,8,-1.4000000000000057,1
43,0,3,1,5,-9.800000000000011,0
22,1,0,0,5,-29.200000000000003,0
41,0,0,1,6,-6.599999999999994,0
72,1,1,2,5,50.8,1
21,1,2,0,9,-90.6,0
43,1,0,0,5,0.19999999999999574,1
63,1,1,0,8,-13.800000000000011,1
49,1,2,3,9,-27.400000000000006,0
57,0,3,2,5,17.799999999999997,1
21,1,3,1,7,-64.6,0
79,1,2,3,7,38.599999999999994,1
40,1,0,0,8,-40.0,0
52,1,0,1,6,8.799999999999997,1
31,0,3,1,6,-38.6,0
77,1,3,1,5,37.8,1
41,0,0,2,9,-34.599999999999994,0
80,1,2,3,6,52.0,1
63,1,3,2,7,2.1999999999999886,1
44,0,0,0,6,-10.400000000000006,0
68,0,2,0,7,-0.8000000000000114,1
46,0,1,1,6,-5.6000000000000085,0
78,1,2,1,8,9.199999999999989,1
61,0,0,1,9,-14.600000000000009,1
47,1,2,2,5,9.799999999999997,1
79,0,0,3,7,50.599999999999994,1
35,0,3,2,6,-25.0,0
34,1,1,0,5,-18.400000000000006,0
66,0,3,1,7,-1.6000000000000085,1
70,0,3,1,7,4.0,1
63,1,0,2,8,8.199999999999989,1
74,1,0,0,6,31.599999999999994,1
71,1,0,3,5,63.39999999999999,1
76,0,0,1,6,42.39999999999999,1
22,0,3,1,6,-51.2,0
56,0,0,0,9,-29.60000000000001,0
70,0,0,1,7,22.0,1
26,0,3,3,7,-41.6,0
40,1,1,2,9,-42.0,0
28,0,1,0,9,-74.80000000000001,0
58,1,2,1,6,5.199999999999989,1
37,0,3,1,7,-42.2,0
23,1,0,3,5,-3.8000000000000043,1
44,0,2,2,8,-30.400000000000006,0
79,0,1,3,9,20.599999999999994,1
33,1,1,2,5,-3.8000000000000043,1
69,0,3,3,5,42.599999999999994,1
77,1,0,2,6,51.8,1
28,0,0,1,9,-60.800000000000004,0
45,0,2,1,5,-1.0,1
72,1,1,1,8,6.799999999999997,1
21,0,2,0,5,-42.6,0
39,1,2,2,8,-37.400000000000006,0
47,0,2,0,8,-42.2,0
66,0,0,2,8,12.399999999999991,1
79,0,1,1,9,4.599999999999994,1
26,0,2,0,8,-71.6,0
63,0,1,0,9,-25.80000000000001,1
80,0,1,3,5,70.0,1
27,0,2,2,8,-54.2,0
66,1,2,3,7,20.39999999999999,1
54,0,3,0,5,-2.4000000000000057,1
33,0,0,0,7,-37.800000000000004,0
36,0,1,1,7,-31.6,0
55,1,2,3,6,17.0,1
69,1,2,3,9,0.5999999999999943,1
59,0,1,3,6,28.599999999999994,1
23,0,2,2,9,-71.80000000000001,0
21,0,3,0,6,-60.6,0
25,1,1,3,5,-7.0,0
73,0,2,1,7,14.199999999999989,1
61,1,1,0,5,19.39999999999999,1
23,0,2,1,9,-79.80000000000001,0
73,1,2,0,7,6.199999999999989,1
48,1,0,1,7,-8.800000000000011,0
37,0,1,3,9,-38.2,0
45,0,0,3,5,27.0,1
63,0,2,1,7,0.19999999999998863,1
53,0,1,2,5,24.19999999999999,1
29,0,1,1,5,-17.400000000000006,0
55,0,3,0,5,-1.0,1
33,0,3,1,7,-47.800000000000004,0
50,1,2,1,8,-30.0,0
67,0,2,0,6,9.799999999999997,1
34,0,2,3,9,-48.400000000000006,0
27,1,2,0,5,-34.2,0
33,0,3,1,7,-47.800000000000004,0
42,0,1,0,9,-55.2,0
79,0,0,1,8,22.599999999999994,1
76,0,1,3,8,28.399999999999977,1
59,1,1,1,7,0.5999999999999943,1
40,1,3,1,5,-14.0,0
35,0,1,3,8,-29.0,0
64,0,1,0,8,-12.400000000000006,1
37,1,2,2,8,-40.2,0
66,0,0,2,7,24.39999999999999,1
72,1,1,1,9,-5.200000000000003,1
43,1,1,1,6,-9.800000000000011,0
45,1,0,3,7,3.0,1
44,0,2,0,5,-10.400000000000006,0
79,0,3,2,7,24.599999999999994,1
